2020-09-10 | 17:38:15.399 | Test worker          |  INFO | otTestContextBootstrapper | ID:          | Found @SpringBootConfiguration com.swm.sprint1.Sprint1Application for test class com.swm.sprint1.service.UserServiceTest
2020-09-10 | 17:38:15.402 | Test worker          |  INFO | otTestContextBootstrapper | ID:          | Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2020-09-10 | 17:38:15.403 | Test worker          |  INFO | otTestContextBootstrapper | ID:          | Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6c196242, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2a2773c, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@328d0c55, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@7359785f, org.springframework.test.context.support.DirtiesContextTestExecutionListener@54751f04, org.springframework.test.context.transaction.TransactionalTestExecutionListener@457f8921, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1f4ada7f, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@27e9c249, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@5b18748f, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6217c84c, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2bc77f53, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@42550be8, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5a71b321, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6f8558b]
2020-09-10 | 17:38:15.429 | Test worker          |  INFO | .t.c.t.TransactionContext | ID:          | Began transaction (1) for test context [DefaultTestContext@69577e9b testClass = UserServiceTest, testInstance = com.swm.sprint1.service.UserServiceTest@2e57dd4c, testMethod = getUserCategoryName@UserServiceTest, testException = [null], mergedContextConfiguration = [WebMergedContextConfiguration@d31f472 testClass = UserServiceTest, locations = '{}', classes = '{class com.swm.sprint1.Sprint1Application}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.context.SpringBootTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@1f6ee231, org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@2bf558c0, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer@7b08d7e7, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.web.client.TestRestTemplateContextCustomizer@2dd244cb], resourceBasePath = 'src/main/webapp', contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]], attributes = map['org.springframework.test.context.web.ServletTestExecutionListener.activateListener' -> true, 'org.springframework.test.context.web.ServletTestExecutionListener.populatedRequestContextHolder' -> true, 'org.springframework.test.context.web.ServletTestExecutionListener.resetRequestContextHolder' -> true]]; transaction manager [org.springframework.orm.jpa.JpaTransactionManager@3df61b4d]; rollback [true]
2020-09-10 | 17:38:15.438 | Test worker          |  INFO | .t.c.t.TransactionContext | ID:          | Rolled back transaction for test: [DefaultTestContext@69577e9b testClass = UserServiceTest, testInstance = com.swm.sprint1.service.UserServiceTest@2e57dd4c, testMethod = getUserCategoryName@UserServiceTest, testException = [null], mergedContextConfiguration = [WebMergedContextConfiguration@d31f472 testClass = UserServiceTest, locations = '{}', classes = '{class com.swm.sprint1.Sprint1Application}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.context.SpringBootTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@1f6ee231, org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@2bf558c0, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer@7b08d7e7, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.web.client.TestRestTemplateContextCustomizer@2dd244cb], resourceBasePath = 'src/main/webapp', contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]], attributes = map['org.springframework.test.context.web.ServletTestExecutionListener.activateListener' -> true, 'org.springframework.test.context.web.ServletTestExecutionListener.populatedRequestContextHolder' -> true, 'org.springframework.test.context.web.ServletTestExecutionListener.resetRequestContextHolder' -> true]]
2020-09-10 | 17:38:15.444 | Test worker          |  INFO | .t.c.t.TransactionContext | ID:          | Began transaction (1) for test context [DefaultTestContext@69577e9b testClass = UserServiceTest, testInstance = com.swm.sprint1.service.UserServiceTest@1fb668de, testMethod = updateUser@UserServiceTest, testException = [null], mergedContextConfiguration = [WebMergedContextConfiguration@d31f472 testClass = UserServiceTest, locations = '{}', classes = '{class com.swm.sprint1.Sprint1Application}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.context.SpringBootTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@1f6ee231, org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@2bf558c0, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer@7b08d7e7, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.web.client.TestRestTemplateContextCustomizer@2dd244cb], resourceBasePath = 'src/main/webapp', contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]], attributes = map['org.springframework.test.context.web.ServletTestExecutionListener.activateListener' -> true, 'org.springframework.test.context.web.ServletTestExecutionListener.populatedRequestContextHolder' -> true, 'org.springframework.test.context.web.ServletTestExecutionListener.resetRequestContextHolder' -> true]]; transaction manager [org.springframework.orm.jpa.JpaTransactionManager@3df61b4d]; rollback [true]
2020-09-10 | 17:38:15.454 | Test worker          |  INFO | .t.c.t.TransactionContext | ID:          | Rolled back transaction for test: [DefaultTestContext@69577e9b testClass = UserServiceTest, testInstance = com.swm.sprint1.service.UserServiceTest@1fb668de, testMethod = updateUser@UserServiceTest, testException = [null], mergedContextConfiguration = [WebMergedContextConfiguration@d31f472 testClass = UserServiceTest, locations = '{}', classes = '{class com.swm.sprint1.Sprint1Application}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.context.SpringBootTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@1f6ee231, org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@2bf558c0, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer@7b08d7e7, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.web.client.TestRestTemplateContextCustomizer@2dd244cb], resourceBasePath = 'src/main/webapp', contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]], attributes = map['org.springframework.test.context.web.ServletTestExecutionListener.activateListener' -> true, 'org.springframework.test.context.web.ServletTestExecutionListener.populatedRequestContextHolder' -> true, 'org.springframework.test.context.web.ServletTestExecutionListener.resetRequestContextHolder' -> true]]
2020-09-10 | 17:38:15.472 | Thread-5             |  INFO | impleBrokerMessageHandler | ID:          | Stopping...
2020-09-10 | 17:38:15.473 | Thread-5             |  INFO | impleBrokerMessageHandler | ID:          | BrokerAvailabilityEvent[available=false, SimpleBrokerMessageHandler [DefaultSubscriptionRegistry[cache[0 destination(s)], registry[0 sessions]]]]
2020-09-10 | 17:38:15.474 | Thread-5             |  INFO | impleBrokerMessageHandler | ID:          | Stopped.
2020-09-10 | 17:38:15.480 | Thread-5             |  INFO | .c.ThreadPoolTaskExecutor | ID:          | Shutting down ExecutorService 'brokerChannelExecutor'
2020-09-10 | 17:38:15.481 | Thread-5             |  INFO | c.ThreadPoolTaskScheduler | ID:          | Shutting down ExecutorService 'messageBrokerTaskScheduler'
2020-09-10 | 17:38:15.488 | Thread-5             |  INFO | .c.ThreadPoolTaskExecutor | ID:          | Shutting down ExecutorService 'clientOutboundChannelExecutor'
2020-09-10 | 17:38:15.489 | Thread-5             |  INFO | .c.ThreadPoolTaskExecutor | ID:          | Shutting down ExecutorService 'clientInboundChannelExecutor'
2020-09-10 | 17:38:15.503 | Thread-5             |  INFO | rEntityManagerFactoryBean | ID:          | Closing JPA EntityManagerFactory for persistence unit 'default'
2020-09-10 | 17:38:15.505 | Thread-5             |  INFO | c.z.h.HikariDataSource    | ID:          | HikariPool-1 - Shutdown initiated...
